MR.ReceivedIPower.00,MR.ReceivedIPower.01,MR.ReceivedIPower.02,MR.ReceivedIPower.03,MR.ReceivedIPower.04,MR.ReceivedIPower.05,MR.ReceivedIPower.06,MR.ReceivedIPower.07,MR.ReceivedIPower.08,MR.ReceivedIPower.09,MR.ReceivedIPower.10,MR.ReceivedIPower.11,MR.ReceivedIPower.12,MR.ReceivedIPower.13,MR.ReceivedIPower.14,MR.ReceivedIPower.15,MR.ReceivedIPower.16,MR.ReceivedIPower.17,MR.ReceivedIPower.18,MR.ReceivedIPower.19,MR.ReceivedIPower.20,MR.ReceivedIPower.21,MR.ReceivedIPower.22,MR.ReceivedIPower.23,MR.ReceivedIPower.24,MR.ReceivedIPower.25,MR.ReceivedIPower.26,MR.ReceivedIPower.27,MR.ReceivedIPower.28,MR.ReceivedIPower.29,MR.ReceivedIPower.30,MR.ReceivedIPower.31,MR.ReceivedIPower.32,MR.ReceivedIPower.33,MR.ReceivedIPower.34,MR.ReceivedIPower.35,MR.ReceivedIPower.36,MR.ReceivedIPower.37,MR.ReceivedIPower.38,MR.ReceivedIPower.39,MR.ReceivedIPower.40,MR.ReceivedIPower.41,MR.ReceivedIPower.42,MR.ReceivedIPower.43,MR.ReceivedIPower.44,MR.ReceivedIPower.45,MR.ReceivedIPower.46,MR.ReceivedIPower.47,MR.ReceivedIPower.48,MR.ReceivedIPower.49,MR.ReceivedIPower.50,MR.ReceivedIPower.51,MR.ReceivedIPower.52,endTime,fileFormatVersion,id,period,reportTime,startTime
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-11-06T01:30:00.000,V2.0.0,197776907:19650:0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-11-06T01:30:00.000,V2.0.0,197776907:19650:1,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-11-06T01:30:00.000,V2.0.0,197776907:19650:2,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-11-06T01:30:00.000,V2.0.0,197776907:19650:3,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-11-06T01:30:00.000,V2.0.0,197776907:19650:4,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-11-06T01:30:00.000,V2.0.0,197776907:19650:5,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-11-06T01:30:00.000,V2.0.0,197776907:19650:6,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-11-06T01:30:00.000,V2.0.0,197776907:19650:7,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-11-06T01:30:00.000,V2.0.0,197776907:19650:8,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-11-06T01:30:00.000,V2.0.0,197776907:19650:9,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
